plot_project,alti,slope,X,Y,northness,eastness,soil_veg,soil_Rtot,soil_blocks,HG,LVM,LVU,LRF,HG_count,LVM_count,LVU_count,LRF_count,hcan,hcan_sd,hveg,nPFG,hill2,Ldensity,isForest,isGrassland,Moyenne,Médiane,Écart-type,Min,Max,Quantile 5%,Quantile 95%,Quantile 25%,Quantile 75%,Moyenne_all,Médiane_all,Écart-type_all,Min_all,Max_all,Quantile 5%_all,Quantile 95%_all,Quantile 25%_all,Quantile 75%_all
LORIAZ_32,2063,18.2320857612998,6.90564,46.04123,-0.870483934167215,-0.492196830908904,0.6875,0.2375,0.2375,0.432,0.168,0.184,0.04,54,21,23,5,10.6625,8.73802073292997,12.5441176470588,6,3.58947852056053,50,0,0,0.33734422333654945,0.20874001951324317,0.2905046399578242,0.0,1.2730952381161842,0.11404298650829787,0.7856547619055849,0.17157345261330192,0.472334711008898,0.3022256895085957,0.21261117915037175,0.23179462014134689,0.0,1.2730952381161842,0.11979298650755936,0.7444271636541315,0.16604166675108445,0.3295986622763394
LORIAZ_33,2034,21.458923465626,6.908429,46.03948,0.998029398429784,0.0627480666625203,0.875,0.05,0.05,0.319277108433735,0.0542168674698795,0.265060240963855,0.126506024096386,53,9,44,21,17.05,12.8967663496894,17.7142857142857,8,4.59726393059726,89,0,0,0.5239111161763959,0.2400433036141294,0.9599824809679804,0.0,4.310000000000173,0.0,1.6305861388051104,0.16082491788785092,0.28394881413424855,0.9963214919566872,0.23543625160436932,1.844026415200286,0.0,8.740000000000009,0.0,5.2509999999999994,0.14886122085971465,0.6165480187145818
LORIAZ_34,2042,17.413345534048,6.91148,46.03923,-0.928307299236246,-0.371813875729118,0.875,0.0,0.0,0.337349397590361,0.0120481927710843,0.072289156626506,0.0240963855421687,56,2,12,4,10.6375,5.10954368890812,10.7721518987342,7,3.78412524031859,68,0,0,0.2011908303626228,0.18729356529036068,0.08505031475914197,0.10867041206711292,0.4888235290684406,0.11906813605600064,0.294543449258481,0.14281595097315858,0.22351105301248708,0.20405585864527892,0.18317624055282522,0.09883445673560742,0.0,0.5946558709997589,0.1086028071600822,0.4070659024111931,0.1431235937569113,0.2395899644718611
LORIAZ_28,2073,12.3515566095845,6.91764,46.04204,-0.326390786392008,-0.945234920302041,0.8625,0.0,0.0,0.0592105263157895,0.0460526315789474,0.203947368421053,0.0197368421052632,9,7,31,3,18.2875,15.8441257491449,19.3774834437086,10,6.20408163265306,119,0,0,0.1299687433629515,0.12800431012146873,0.06328829574787072,0.0,0.3376370510677589,0.03443280632827737,0.18226821607954674,0.1156815092223269,0.14661855285999081,0.1326135170321595,0.12803373015503894,0.06362514679703622,0.0,0.38000000000010914,0.0,0.22157197832659672,0.11044658042214905,0.15977540157894055
LORIAZ_29,2028,23.3977410002637,6.92021,46.04359,0.388398085731858,-0.921491685800707,0.95,0.0,0.0,0.142131979695431,0.0355329949238579,0.228426395939086,0.0,28,7,45,0,28.0125,10.948086648626,28.7307692307692,8,6.08577701113376,148,0,0,0.38341925547160827,0.3639161688194008,0.10843215997570306,0.17666666656327834,0.6319061584381416,0.26313043483021376,0.5299250665373166,0.30940027992255636,0.4661847497114877,0.3510568075703236,0.3336491228054683,0.10073997874220984,0.15825503336941438,0.6764915966418812,0.22665056865449743,0.527329758615417,0.28627157885972565,0.39122317596093126
LORIAZ_35,2058,13.9648809106093,6.91666,46.04089,-0.495742904680756,-0.868469327298718,0.9625,0.0,0.0,0.282926829268293,0.126829268292683,0.0829268292682927,0.0097560975609756,58,26,17,2,21.9125,10.4520529750095,21.9125,8,5.61906672014975,130,0,0,0.09655042138954287,0.11010021434685768,0.06968016918967768,0.0,0.2226506022011563,0.0,0.1862127240498694,0.015436893194419099,0.139328947479612,0.11074522633338801,0.12852941179698973,0.06991483402879757,0.0,0.2453355707780247,0.0,0.20953048817630132,0.06273399295810123,0.1485326590556042
LORIAZ_40,1983,17.9903134605286,6.91244,46.03722,0.989916292653876,-0.141653568745746,0.85,0.1125,0.075,0.282352941176471,0.117647058823529,0.194117647058824,0.0058823529411764,48,20,33,1,19.0625,10.0635244977322,19.5512820512821,8,5.26219956300073,89,0,0,0.23179407796800433,0.15873355942494527,0.24919265976414645,0.0,1.2100000000000364,0.07497784812799183,0.4640212956315855,0.12958450253881892,0.22815217380417607,0.2296687138512357,0.17568466891418666,0.1825197238191812,0.0,1.2100000000000364,0.10155133828052385,0.5079925853585107,0.1331832437855951,0.2482644784449235
LORIAZ_21,2027,33.0120294094959,6.9206,46.04467,-0.426355941010691,0.904555477328444,1.0,0.0,0.0,0.209821428571429,0.223214285714286,0.174107142857143,0.129464285714286,47,50,39,29,48.75,16.9724273791123,48.75,9,5.89335212591027,154,0,0,0.3644429704566846,0.3607638456838913,0.06100016875680446,0.257777777650972,0.47672955949883544,0.2722799144582382,0.45826663327742384,0.3347818854950333,0.40456978735329585,0.4492792674769566,0.38940677895845965,0.37362285489755803,0.25195094764399073,3.0497368421347346,0.2838939833241511,0.58678169761979,0.34794336200673115,0.4343703376145527
LORIAZ_46,1973,14.129503142051,6.90612,46.03582,0.0527711577051983,-0.998606631719644,0.9375,0.05,0.05,0.167487684729064,0.182266009852217,0.177339901477833,0.246305418719212,34,37,36,50,35.475,16.2776347300541,35.9240506329114,10,5.80653797379174,140,0,0,1.4186151658054427,0.34536547126344885,1.9765729424429983,0.19089285678046508,6.5491919190985755,0.19194464285220647,5.285207657888203,0.24489770158072588,1.5041325301012307,1.0817439588038587,0.3178026907204412,1.683160840020416,0.16127819549615197,7.3198715203441225,0.18534200127676287,5.22886710956119,0.228704369172533,0.7912235915545125
LORIAZ_56,1972,26.4772810423119,6.9064,46.03258,0.981686553929662,0.190503306621446,0.775,0.1625,0.1625,0.352564102564103,0.25,0.0192307692307692,0.147435897435897,55,39,3,23,27.2875,22.3245302727456,31.1857142857143,8,4.12894468951476,68,0,0,0.49898192907355676,0.3763631738958111,0.3342239151886879,0.20987124463204054,1.5700000000001637,0.2502696038263707,1.1329999999999134,0.26979588150578593,0.5699999999999363,0.4671143427394759,0.4001599327293661,0.25856873947026077,0.11807692302568285,1.5700000000001637,0.21987237569567242,0.9638090954241645,0.26979588150578593,0.5899999999999181
